Site,Type,Plant_Species,FU_Open
Dolebury.Warren,tri,Lotus_corniculatus,385
Dolebury.Warren,tri,Medicago_lupulina,0
Dolebury.Warren,tri,Melilotus_officinalis,3
Dolebury.Warren,tri,Melittis_melissophyllum,0
Dolebury.Warren,tri,Mercurialis_perennis,9
Dolebury.Warren,tri,Origanum_vulgare,0
Dolebury.Warren,tri,Pilosella_erecta,0
Dolebury.Warren,tri,Pilosella_officinarum,0
Dolebury.Warren,tri,Plantago_lanceolata,4
Dolebury.Warren,tri,Potentilla_erecta,9
Dolebury.Warren,tri,Potentilla_reptans,1
Dolebury.Warren,tri,Potentilla_sterilis,1
Dolebury.Warren,tri,Prunella_vulgaris,39
Dolebury.Warren,tri,Prunus_spinosa,0
Dolebury.Warren,tri,Quercus_robur,0
Dolebury.Warren,tri,Ranunculus_repens,1
Dolebury.Warren,tri,Rosa_canina,0
Dolebury.Warren,tri,Rubus_fruiticosus,20
Dolebury.Warren,tri,Rubus_fruticosus,0
Dolebury.Warren,tri,Rumex_acetosa,0
Dolebury.Warren,tri,Rumex_acetosella,0
Dolebury.Warren,tri,Sanguisorba_minor,1
Dolebury.Warren,tri,Senecio_jacobaea,0
Dolebury.Warren,tri,Sherardia_arvensis,0
Dolebury.Warren,tri,Sorbus_aucuparia,0
Dolebury.Warren,tri,Stellaria_graminea,0
Dolebury.Warren,tri,Tamus_communis,0
Dolebury.Warren,tri,Taraxacum_agg.,1
Dolebury.Warren,tri,Teucrium_scorodonia,7
Dolebury.Warren,tri,Thymus_polytrichus,7
Dolebury.Warren,tri,Trifolium_arvense,0
Dolebury.Warren,tri,Trifolium_pratense,3
Dolebury.Warren,tri,Trifolium_repens,8
Dolebury.Warren,tri,Urtica_dioica,0
Dolebury.Warren,tri,Vaccinium_myrtillus,0
Dolebury.Warren,tri,Veronica_chamaedrys,7
Dolebury.Warren,tri,Veronica_officinalis,168
Dolebury.Warren,tri,Vicia_sativa,0
Dolebury.Warren,tri,Viola_reichenbachiana,3
Dolebury.Warren,tri,Viola_riviniana,5
Dunkery.Hill,mon,Betula_pendula,0
Dunkery.Hill,mon,Calluna_vulgaris,33387
Dunkery.Hill,mon,Erica_cinerea,6689
Dunkery.Hill,mon,Erica_tetralix,20
Dunkery.Hill,mon,Galium_saxatile,0
Dunkery.Hill,mon,Grass,0
