"Site"	"Plant_Species"	"FU_Open"
"325"	"Dartmoor_Scrub"	"Taraxacum_agg."	0
"326"	"Dartmoor_Scrub"	"Ulex_europaeus"	5012
"327"	"Dartmoor_Scrub"	"Vaccinium_myrtillus"	0
"328"	"Dolebury_Warren"	"Achillea_millefolium"	0
"329"	"Dolebury_Warren"	"Ajuga_reptans"	0
"330"	"Dolebury_Warren"	"Arum_maculatum"	0
"331"	"Dolebury_Warren"	"Bellis_perennis"	2
"332"	"Dolebury_Warren"	"Blackstonia_perfoliata"	0
"333"	"Dolebury_Warren"	"Campanula_rotundifolia"	1
"334"	"Dolebury_Warren"	"Centaurium_erythraea"	0
"335"	"Dolebury_Warren"	"Cerastium_fontanum"	2
"336"	"Dolebury_Warren"	"Circaea_lutetiana"	0
"337"	"Dolebury_Warren"	"Cirsium_arvense"	0
"338"	"Dolebury_Warren"	"Cirsium_eriophorum"	0
"339"	"Dolebury_Warren"	"Cirsium_palustre"	0
"340"	"Dolebury_Warren"	"Cirsium_vulgare"	0
"341"	"Dolebury_Warren"	"Convolvulus_arvensis"	0
"342"	"Dolebury_Warren"	"Crataegus_monogyna"	0
"343"	"Dolebury_Warren"	"Crepis_capillaris"	2
"344"	"Dolebury_Warren"	"Dryopteris_sp."	0
"345"	"Dolebury_Warren"	"Erica_cinerea"	1526
"346"	"Dolebury_Warren"	"Euphrasia_nemorosa"	78
"347"	"Dolebury_Warren"	"Fragaria_vesca"	6
"348"	"Dolebury_Warren"	"Fraxinus_excelsior"	0
"349"	"Dolebury_Warren"	"Galium_aparine"	0
"350"	"Dolebury_Warren"	"Galium_verum"	88
"351"	"Dolebury_Warren"	"Geranium_columbinum"	0
"352"	"Dolebury_Warren"	"Geranium_robertianum"	0
"353"	"Dolebury_Warren"	"Glechoma_hederacea"	0
"354"	"Dolebury_Warren"	"Grass"	0
"355"	"Dolebury_Warren"	"Hedera_helix"	0
"356"	"Dolebury_Warren"	"Hyacinthoides_non-scripta"	2
"357"	"Dolebury_Warren"	"Hypochaeris_radicata"	0
"358"	"Dolebury_Warren"	"Ilex_aquifolium"	0
"359"	"Dolebury_Warren"	"Lathyrus_pratensis"	0
"360"	"Dolebury_Warren"	"Leontodon_hispidus"	1
"361"	"Dolebury_Warren"	"Limonium_vulgare"	0
"362"	"Dolebury_Warren"	"Linum_catharticum"	77
"363"	"Dolebury_Warren"	"Lonicera_periclymenum"	0
"364"	"Dolebury_Warren"	"Lotus_corniculatus"	385
"365"	"Dolebury_Warren"	"Medicago_lupulina"	0
"366"	"Dolebury_Warren"	"Melilotus_officinalis"	3
"367"	"Dolebury_Warren"	"Melittis_melissophyllum"	0
"368"	"Dolebury_Warren"	"Mercurialis_perennis"	9
"369"	"Dolebury_Warren"	"Origanum_vulgare"	0
"370"	"Dolebury_Warren"	"Pilosella_erecta"	0
"371"	"Dolebury_Warren"	"Pilosella_officinarum"	0
"372"	"Dolebury_Warren"	"Plantago_lanceolata"	4
"373"	"Dolebury_Warren"	"Potentilla_erecta"	9
"374"	"Dolebury_Warren"	"Potentilla_reptans"	1
"375"	"Dolebury_Warren"	"Potentilla_sterilis"	1
"376"	"Dolebury_Warren"	"Prunella_vulgaris"	39
"377"	"Dolebury_Warren"	"Prunus_spinosa"	0
"378"	"Dolebury_Warren"	"Quercus_robur"	0
"379"	"Dolebury_Warren"	"Ranunculus_repens"	1
"380"	"Dolebury_Warren"	"Rosa_canina"	0
"381"	"Dolebury_Warren"	"Rubus_fruiticosus"	20
"382"	"Dolebury_Warren"	"Rubus_fruticosus"	0
"383"	"Dolebury_Warren"	"Rumex_acetosa"	0
"384"	"Dolebury_Warren"	"Rumex_acetosella"	0
"385"	"Dolebury_Warren"	"Sanguisorba_minor"	1
"386"	"Dolebury_Warren"	"Senecio_jacobaea"	0
"387"	"Dolebury_Warren"	"Sherardia_arvensis"	0
"388"	"Dolebury_Warren"	"Sorbus_aucuparia"	0
"389"	"Dolebury_Warren"	"Stellaria_graminea"	0
"390"	"Dolebury_Warren"	"Tamus_communis"	0
"391"	"Dolebury_Warren"	"Taraxacum_agg."	1
"392"	"Dolebury_Warren"	"Teucrium_scorodonia"	7
"393"	"Dolebury_Warren"	"Thymus_polytrichus"	7
"394"	"Dolebury_Warren"	"Trifolium_arvense"	0
"395"	"Dolebury_Warren"	"Trifolium_pratense"	3
"396"	"Dolebury_Warren"	"Trifolium_repens"	8
"397"	"Dolebury_Warren"	"Urtica_dioica"	0
"398"	"Dolebury_Warren"	"Vaccinium_myrtillus"	0
"399"	"Dolebury_Warren"	"Veronica_chamaedrys"	7
"400"	"Dolebury_Warren"	"Veronica_officinalis"	168
"401"	"Dolebury_Warren"	"Vicia_sativa"	0
"402"	"Dolebury_Warren"	"Viola_reichenbachiana"	3
"403"	"Dolebury_Warren"	"Viola_riviniana"	5
"404"	"Dolebury_Warren"	NA	0
"405"	"Dunkery_Hill"	"Betula_pendula"	0
"406"	"Dunkery_Hill"	"Calluna_vulgaris"	33387
"407"	"Dunkery_Hill"	"Erica_cinerea"	6689
"408"	"Dunkery_Hill"	"Erica_tetralix"	20
"409"	"Dunkery_Hill"	"Galium_saxatile"	0
"410"	"Dunkery_Hill"	"Grass"	0
"411"	"Dunkery_Hill"	"Melampyrum_pratense"	1
"412"	"Dunkery_Hill"	"Polygala_serpyllifolia"	4
"413"	"Dunkery_Hill"	"Potentilla_erecta"	52
"414"	"Dunkery_Hill"	"Rumex_acetosella"	20
"415"	"Dunkery_Hill"	"Rush"	0
"416"	"Dunkery_Hill"	"Ulex_europaeus"	0
"417"	"Dunkery_Hill"	"Ulex_minor"	0
"418"	"Dunkery_Hill"	"Vaccinium_myrtillus"	215
"419"	"Dunkery_Hill"	"Veronica_officinalis"	0
"420"	"Forest_of_Dean"	""	0
"421"	"Forest_of_Dean"	"Anemone_nemorosa"	0
"422"	"Forest_of_Dean"	"Betula_pendula"	0
"423"	"Forest_of_Dean"	"Corylus_avellana"	0
"424"	"Forest_of_Dean"	"Crataegus_monogyna"	0
"425"	"Forest_of_Dean"	"Digitalis_purpurea"	0
"426"	"Forest_of_Dean"	"Dryopteris_sp."	0
"427"	"Forest_of_Dean"	"Euphorbia_amygdaloides"	160
"428"	"Forest_of_Dean"	"Fagus_sylvatica"	0
"429"	"Forest_of_Dean"	"Fraxinus_excelsior"	0
"430"	"Forest_of_Dean"	"Galium_aparine"	13
"431"	"Forest_of_Dean"	"Galium_mollugo"	0
"432"	"Forest_of_Dean"	"Galium_sp"	0
"433"	"Forest_of_Dean"	"Geranium_robertianum"	0
"434"	"Forest_of_Dean"	"Grass"	0
"435"	"Forest_of_Dean"	"Hedera_helix"	0
"436"	"Forest_of_Dean"	"Hyacinthoides_non-scripta"	19
"437"	"Forest_of_Dean"	"Hypericum_perforatum"	1
"438"	"Forest_of_Dean"	"Ilex_aquifolium"	0
"439"	"Forest_of_Dean"	"Larix_decidua"	0
"440"	"Forest_of_Dean"	"Lonicera_periclymenum"	0
"441"	"Forest_of_Dean"	"Luzula_campestris"	0
"442"	"Forest_of_Dean"	"Lysimachia_nemorum"	5
"443"	"Forest_of_Dean"	"Medicago_lupulina"	0
"444"	"Forest_of_Dean"	"Melampyrum_pratense"	0
"445"	"Forest_of_Dean"	"Oxalis_acetosella"	0
"446"	"Forest_of_Dean"	"Pinus_nigra"	0
"447"	"Forest_of_Dean"	"Pinus_sylvestris"	0
"448"	"Forest_of_Dean"	"Potentilla_erecta"	1
"449"	"Forest_of_Dean"	"Potentilla_sterilis"	0
"450"	"Forest_of_Dean"	"Quercus_petraea"	0
"451"	"Forest_of_Dean"	"Quercus_robur"	0
"452"	"Forest_of_Dean"	"Quercus_sp."	0
"453"	"Forest_of_Dean"	"Ranunculus_repens"	0
"454"	"Forest_of_Dean"	"Rosa_arvensis"	0
"455"	"Forest_of_Dean"	"Rubus_fruiticosus"	0
"456"	"Forest_of_Dean"	"Rubus_fruticosus"	0
"457"	"Forest_of_Dean"	"Rush"	0
"458"	"Forest_of_Dean"	"Sedge"	0
"459"	"Forest_of_Dean"	"Stellaria_holostea"	0
"460"	"Forest_of_Dean"	"Taraxacum_agg."	0
"461"	"Forest_of_Dean"	"Taxus_baccata"	0
"462"	"Forest_of_Dean"	"Teucrium_scorodonia"	0
"463"	"Forest_of_Dean"	"Vaccinium_myrtillus"	0
"464"	"Forest_of_Dean"	"Veronica_persica"	0
"465"	"Forest_of_Dean"	"Viola_riviniana"	0
"466"	"Forest_of_Dean"	NA	0
"467"	"Haddon_Hill"	"Betula_pendula"	0
"468"	"Haddon_Hill"	"Calluna_vulgaris"	0
"469"	"Haddon_Hill"	"Cardamine_flexuosa"	0
"470"	"Haddon_Hill"	"Carpinus_betulus"	0
"471"	"Haddon_Hill"	"Corylus_avellana"	0
"472"	"Haddon_Hill"	"Digitalis_purpurea"	0
"473"	"Haddon_Hill"	"Dryopteris_sp."	0
"474"	"Haddon_Hill"	"Erica_cinerea"	0
"475"	"Haddon_Hill"	"Erica_tetralix"	11
"476"	"Haddon_Hill"	"Fagus_sylvatica"	0
"477"	"Haddon_Hill"	"Fraxinus_excelsior"	0
"478"	"Haddon_Hill"	"Grass"	0
"479"	"Haddon_Hill"	"Hedera_helix"	0
"480"	"Haddon_Hill"	"Hyacinthoides_non-scripta"	0
"481"	"Haddon_Hill"	"Ilex_aquifolium"	0
"482"	"Haddon_Hill"	"Lonicera_periclymenum"	0
"483"	"Haddon_Hill"	"Melampyrum_pratense"	2
