Upper.Taxon	N individuals observed	Obs spp	Estimated total spp (Chao1)	Chao1 SE	Sampling completeness
Paragus_haemorrhous	3	3	6	4.28660705	0.5
Paragus_sp.	3	3	6	4.28660705	0.5
Pararge_aegeria	1	1	1	0	1
Parascatopse_sp.	16	2	2	0.353553391	1
Parasyrphus_nigritarsis	1	1	1	0	1
Paregle_audacula	3	3	6	4.28660705	0.5
Pegomya_geniculata	3	1	1	0	1
Pegoplata_aestiva	348	41	136	65.05561817	0.301470588
Pegoplata_infirma	2	2	3	2.041241452	0.666666667
Phaedon_cochleariae	1	1	1	0	1
Phaonia_angelicae	3	2	2	0.176776695	1
Phaonia_incana	6	5	8	4.088856808	0.625
Phaonia_palpata	1	1	1	0	1
Phaonia_serva	1	1	1	0	1
Phaoniinae_sp.	2	2	3	2.041241452	0.666666667
Pherbellia_albocostata	1	1	1	0	1
Pherbellia_cinerella	6	4	7	4.342481187	0.571428571
Philorinum_sordidum	1	1	1	0	1
Phora_sp.	5	3	4	2.121320344	0.75
Phoridae_sp.	2	1	1	0	1
Phryxe_vulgaris	2	2	3	2.041241452	0.666666667
Phyllodromia_melanocephala	1	1	1	0	1
Physocephala_rufipes	1	1	1	0	1
Phyto_melanocephala	1	1	1	0	1
Phytomyza_sp._1	1	1	1	0	1
Phytomyza_sp._2	1	1	1	0	1
Pieris_brassicae	1	1	1	0	1
Pieris_napi	1	1	1	0	1
Pieris_rapae	1	1	1	0	1
Pipiza_noctiluca	1	1	1	0	1
Platycheirus_albimanus	57	21	30	7.602543434	0.7
Platycheirus_clypeatus	3	3	6	4.28660705	0.5
Platycheirus_manicatus	6	6	21	13.45627841	0.285714286
Platycheirus_occultus	1	1	1	0	1
Platycheirus_peltatus	5	4	5.5	2.518116179	0.727272727
Platycheirus_scutatus	2	2	3	2.041241452	0.666666667
Platycheirus_sp.	1	1	1	0	1
Platypalpus_sp.	1	1	1	0	1
Plebejus_argus	3	1	1	0	1
Plutella_xylostella	1	1	1	0	1
Pollenia_amentaria	5	4	5.5	2.518116179	0.727272727
Pollenia_labialis	1	1	1	0	1
Pollenia_pediculata	11	7	17	10.10241672	0.411764706
Pollenia_rudis	5	3	4	2.121320344	0.75
Polyommatus_icarus	33	8	14	7.101307727	0.571428571
Prosena_siberita	1	1	1	0	1
Protapion_nigritarse	1	1	1	0	1
Pseudopanthera_macularia	1	1	1	0	1
Psilothrix_viridicoeruleus	122	11	12.5	2.563201124	0.88
Psychoda_sp.	1	1	1	0	1
Pteromalidae_sp._A	1	1	1	0	1
Pteromalidae_sp._B	1	1	1	0	1
Pteromalidae_sp._FV	1	1	1	0	1
Pteromalidae_sp._G	1	1	1	0	1
Pteromalidae_sp._O	1	1	1	0	1
Pteromalus_sequester	1	1	1	0	1
Pterophoridae_sp.	1	1	1	0	1
Pyrausta_aurata	2	2	3	2.041241452	0.666666667
Pyrgus_malvae	1	1	1	0	1
Pyronia_tithonus	25	8	10	2.855793332	0.8
Ragonycha_fulva	39	10	10.25	0.730370667	0.975609756
Ragonycha_limbata	1	1	1	0	1
Rhagonycha_fulva	68	9	10	2.258317958	0.9
Rhamphomyia_hybotina	5	3	4	2.121320344	0.75
Rhamphomyia_laevipes	8	3	3	0.204124145	1
Rhamphomyia_longipes	7	4	7	4.342481187	0.571428571
